paper_id,num_equations,mean_num_new_symbols_introduced,num_overall_unique_symbols,mean_num_unique_symbols,std_of_unique_symbols,max_representational_complexity
Nayau9fwXU,59.0,0.6610169491525424,39.0,2.9661016949152543,4.156283575731284,19.0
P_48ZG7ySK,682.0,0.15395894428152493,105.0,3.876832844574779,3.9973658652189252,24.0
dZrQR7OR11,583.0,0.12521440823327615,73.0,2.938250428816467,4.7486255952335155,26.0
C_PRLz8bEJx,391.0,0.17647058823529413,69.0,2.488491048593349,3.6904930563921474,23.0
fGm87trHel_,209.0,0.2631578947368421,55.0,3.1483253588516744,3.6323876404585116,18.0
XKHNu4OF6wn,52.0,0.7115384615384616,37.0,3.6538461538461533,3.885037236476433,17.0
zaq4LV55xHl,58.0,0.6724137931034483,39.0,2.2586206896551726,3.385004832086454,16.0
2xQVAXKjLdH,115.0,0.4434782608695652,51.0,3.739130434782608,4.737100594693026,22.0
P5ZTXA7zy6,74.0,0.47297297297297297,35.0,4.716216216216217,5.679861734450333,21.0
k09v6oRxQPq,47.0,0.5531914893617021,26.0,1.851063829787234,2.999845817807941,13.0
Mof47lISH6N,318.0,0.1761006289308176,56.0,2.226415094339623,3.4594077433006745,25.0
3wCqIZivcJx,81.0,0.38271604938271603,31.0,2.753086419753087,3.1643753893838626,14.0
yI_xwoYO6cF,156.0,0.358974358974359,56.0,2.371794871794872,3.5960873876459725,28.0
-Ov808Vm7dw,5.0,1.2,6.0,4.0,2.23606797749979,5.0
M1BrqvlID5J,127.0,0.3228346456692913,41.0,2.9606299212598426,3.9428488105565416,19.0
sVx6FKx1iv,217.0,0.3640552995391705,79.0,3.9447004608294924,3.917751862386292,18.0
8mWlBArp1qx,109.0,0.3944954128440367,43.0,5.568807339449542,5.037575424446037,21.0
HkQ7Ompkpqe,27.0,0.7777777777777778,21.0,4.185185185185185,2.60232199623332,11.0
eMuXAIEYXh9,85.0,0.5176470588235295,44.0,3.152941176470588,4.627829590930189,21.0
fHT8kZcyyT,327.0,0.0856269113149847,28.0,0.4617737003058108,1.4519631001981006,15.0
YurfS_kh5ib,265.0,0.27547169811320754,73.0,3.6339622641509406,4.937294046192774,26.0
apZRm_0VClK,127.0,0.3543307086614173,45.0,3.2047244094488203,4.46029855694637,25.0
241s3NHjxc,130.0,0.4846153846153846,63.0,3.715384615384617,4.360205199965707,19.0
dBbdV4CTEQf,161.0,0.2919254658385093,47.0,2.8447204968944098,3.846360302628935,23.0
TS_VsCpuWr,388.0,0.20618556701030927,80.0,3.925257731958765,4.403085737989885,28.0
cy554rYBzMT,477.0,0.1970649895178197,94.0,2.3291404612159314,2.645483287164403,18.0
qxRscesArBZ,244.0,0.28688524590163933,70.0,3.8073770491803303,5.45989746557709,28.0
eLxADkHrBcR,299.0,0.1806020066889632,54.0,3.9197324414715697,4.711143999128152,27.0
US0hgxTfU7i,435.0,0.15862068965517243,69.0,5.356321839080459,5.701032753667789,25.0
cddbeL1HWaD,211.0,0.3791469194312796,80.0,4.715639810426545,4.409372263186673,23.0
ALuRpkAeQP,1287.0,0.052059052059052056,67.0,2.0116550116550123,2.016422693308901,17.0
4vfv4GDG6G,65.0,0.7230769230769231,47.0,3.246153846153846,3.7997975654581313,14.0
EGIvMUk5duH,161.0,0.2919254658385093,47.0,4.180124223602484,3.641579668834947,19.0
si1JH05iUV,211.0,0.26540284360189575,56.0,2.739336492890996,3.222438818443929,31.0
uH_RlkvQMUs,29.0,0.9310344827586207,27.0,3.0344827586206895,2.5422537613684675,11.0
j3AyKG-H3uM,349.0,0.17191977077363896,60.0,2.3868194842406893,3.1996674439390076,20.0
XCTVFJwS9LJ,106.0,0.46226415094339623,49.0,4.669811320754715,6.843449002496869,31.0
ULzyv9M1j5,328.0,0.20121951219512196,66.0,2.4054878048780477,4.319456770817121,23.0
zoz7Ze4STUL,100.0,0.21,21.0,4.370000000000001,2.501131057273202,11.0
WmIwYTd0YTF,571.0,0.15586690017513136,89.0,4.8984238178633985,6.050099112054059,24.0
Ogh8umAChpo,470.0,0.10212765957446808,48.0,2.331914893617019,2.399458572810718,15.0
7WiIzqeqBNL,538.0,0.20260223048327136,109.0,3.923791821561337,3.9803697704677705,26.0
PEgBEB74JjB,1244.0,0.0860128617363344,107.0,3.627009646302248,3.8444129907792064,24.0
j2SvoOSjxH8,308.0,0.2694805194805195,83.0,6.058441558441556,5.806586188627062,21.0
lTb1kzFA84J,598.0,0.1354515050167224,81.0,2.5919732441471566,4.136782238535787,21.0
ZXu1S-wdy6d,309.0,0.16181229773462782,50.0,2.825242718446601,2.3989737435131118,16.0
RVgssxlEVfl,605.0,0.18677685950413223,113.0,3.3999999999999986,4.170854407680304,23.0
m4f7Wl93fzT,606.0,0.16501650165016502,100.0,2.886138613861386,3.2876285920503294,23.0
tXc-riXhmx,61.0,0.6885245901639344,42.0,4.131147540983607,6.11412411234857,28.0
AB4xZG9uzGl,123.0,0.3089430894308943,38.0,2.4308943089430897,3.971375656304996,27.0
TtxOsdYU92d,144.0,0.4236111111111111,61.0,3.2638888888888897,3.5260987200264524,33.0
C2ulri4duIs,93.0,0.5913978494623656,55.0,4.827956989247311,5.634952366439579,25.0
x70_D-KGEMx,180.0,0.32222222222222224,58.0,3.8500000000000005,3.610157922233276,17.0
TuhR4112Ii,198.0,0.3181818181818182,63.0,2.207070707070708,2.9518213434600162,23.0
jrrokKkjVsz,138.0,0.39855072463768115,55.0,2.833333333333334,3.6238934043823687,20.0
uATOkwOZaI,328.0,0.2225609756097561,73.0,4.0518292682926855,5.195304543921836,25.0
UyC1dXUA-n,232.0,0.2672413793103448,62.0,2.64655172413793,3.477209186821346,29.0
ytLA65K3xJ,63.0,0.12698412698412698,8.0,0.53968253968254,1.202489310869222,4.0
BR1qoDGxjWp,220.0,0.34545454545454546,76.0,4.6318181818181845,5.168033670709367,30.0
lVdvYoIxsXm,94.0,0.44680851063829785,42.0,3.5531914893617027,4.004344472083988,21.0
9qgOs_IwRS3,819.0,0.13553113553113552,111.0,3.1025641025641,5.6895417950726515,32.0
LoJ6oXzc_P3,497.0,0.13480885311871227,67.0,2.311871227364185,2.8739163314471017,17.0
