paper_id,num_equations,mean_num_new_symbols_introduced,num_overall_unique_symbols,mean_num_unique_symbols,std_of_unique_symbols,max_representational_complexity,recommendation_avg,status
mSDfBXr8Py,64.0,0.6875,44.0,3.6093750000000013,3.058255481038428,14.0,4.75,Poster
X8dbFcAox2,461.0,0.1540130151843818,71.0,3.045553145336222,4.261568241639184,30.0,6.6,Poster
PYSfn5xXEe,374.0,0.1497326203208556,56.0,3.566844919786097,5.069973871628487,23.0,6.0,Poster
crbPFR2Hpv,119.0,0.4789915966386555,57.0,3.4117647058823515,2.9784871734611493,17.0,6.5,Poster
XYxNklOMMX,347.0,0.1037463976945245,36.0,1.0691642651296827,2.065642461632062,13.0,6.2,Poster
fKwG6grp8o,949.0,0.11169652265542676,106.0,4.1833508956796654,5.522307746991357,34.0,7.0,Spotlight
LLETO26Ga2,695.0,0.08489208633093526,59.0,1.6302158273381293,3.4881366394680238,20.0,6.0,Poster
KsICioDlYs,92.0,0.41304347826086957,38.0,3.195652173913044,5.479711090552976,25.0,5.75,Poster
o16sYKHk3S,1471.0,0.07817811012916383,115.0,3.2991162474507156,3.4645325244552048,32.0,5.5,Poster
o778eWSr1S,170.0,0.3,51.0,3.541176470588235,3.7004811495134824,19.0,5.2,Poster
jzseUq55eP,1030.0,0.08155339805825243,84.0,2.88155339805825,3.2925910755556993,22.0,4.25,Poster
dR6p49RYLq,205.0,0.2731707317073171,56.0,2.4731707317073175,3.5182315348016098,20.0,5.6,Poster
2b9aY2NgXE,113.0,0.45132743362831856,51.0,2.5044247787610625,2.875772858248313,18.0,5.6,Poster
BT03V9Re9a,77.0,0.4935064935064935,38.0,4.103896103896107,5.046062601527774,22.0,5.0,Reject
IhxD94i5ra,493.0,0.13387423935091278,66.0,2.202839756592286,2.2495329345125956,16.0,5.75,Poster
P5vzRpoOj2,216.0,0.1712962962962963,37.0,3.106481481481485,3.8823098650194794,18.0,5.25,Poster
mgNu8nDFwa,1404.0,0.0641025641025641,90.0,3.2891737891737867,3.707075110416047,28.0,6.5,Poster
FxRfAIj4s2,59.0,0.1864406779661017,11.0,0.6610169491525422,0.9397389492892277,6.0,4.75,Poster
StD4J5ZlI5,50.0,0.78,39.0,4.480000000000001,5.9151828167100655,26.0,5.75,Poster
XF923QPCGw,1512.0,0.08664021164021164,131.0,4.536375661375668,4.896141685124143,31.0,6.5,Poster
LaFKTgrZMG,12.0,0.0,0.0,0.0,0.0,0.0,7.0,Poster
Bw82hwg5Q3,478.0,0.09623430962343096,46.0,1.4581589958159,2.9327412137926916,22.0,5.4,Poster
HUuEMMM8Ik,931.0,0.07089151450053706,66.0,1.9462943071965617,3.008467390220697,25.0,5.5,Poster
iATY9W5Xw7,810.0,0.08888888888888889,72.0,1.5641975308641995,3.5387946605359377,33.0,6.2,Poster
d8j3lsBWpV,99.0,0.3838383838383838,38.0,2.535353535353535,3.4914272016396986,18.0,5.6,Poster
JIYdbHDonF,1199.0,0.08507089241034195,102.0,2.65554628857381,3.2129148579015223,26.0,5.6,Poster
